backbone,corruption_type,severity_level,delta_auroc,delta_auroc_ci_lo,delta_auroc_ci_hi,logit_gap_trim1,logit_gap_ci_lo,logit_gap_ci_hi,mahalanobis_auroc,msp_auroc,seconds
resnet18,impulse_noise,3,0.08518622499999995,0.08102499062499997,0.08889822150000008,-5.035631663533644,-5.112936802753797,-4.961379650107775,0.988593375,0.90340715,38.117459297180176
resnet18,impulse_noise,4,0.07237313999999995,0.06818482074999999,0.07624512987500003,-5.208933648764369,-5.278167048120404,-5.1412786019333385,0.9990685699999999,0.92669543,38.58274435997009
resnet18,impulse_noise,5,0.07599359000000006,0.0713966616250001,0.0801378885,-5.07071483408742,-5.136104292249537,-5.000523855222195,0.9999032800000001,0.92390969,38.662588119506836
resnet18,defocus_blur,1,0.004837764999999994,-0.0007884133749998273,0.010477518874999934,0.008281963492503763,-0.08066115126655445,0.0996507164644856,0.5088333300000001,0.5039955650000001,40.98477077484131
resnet18,defocus_blur,2,0.02601076499999999,0.020424843000000047,0.03168089475000005,-0.17143915921078623,-0.26543873265192575,-0.08087740134760149,0.5562289499999999,0.530218185,40.97388696670532
resnet18,defocus_blur,3,0.06122149499999985,0.055542432750000044,0.0670945781250001,-0.7946249828031196,-0.8889527820673393,-0.7004105187184637,0.6534779849999999,0.59225649,40.710222005844116
resnet18,defocus_blur,4,0.09309306000000006,0.08777819274999996,0.09832373449999998,-1.9357533022382984,-2.025231111252433,-1.8417427199355971,0.77823239,0.6851393299999999,40.862945318222046
resnet18,defocus_blur,5,0.10644686000000025,0.10235603474999987,0.11054836599999993,-4.235555335640851,-4.319674293047355,-4.1500680852965735,0.9426555450000002,0.8362086849999999,40.464516401290894
resnet18,glass_blur,1,0.08552314999999999,0.08180791850000008,0.08930700449999993,-5.273772001583272,-5.350837246133978,-5.1871358587234475,0.95793274,0.87240959,41.33617401123047
resnet18,glass_blur,2,0.08573484500000006,0.0820889099999998,0.08964347837500003,-5.192200772162934,-5.272133148690686,-5.106619441461762,0.954063145,0.8683282999999999,39.89418148994446
resnet18,glass_blur,3,0.08816858499999991,0.08430590862500023,0.09201552262499997,-4.930344092712541,-5.008493174930682,-4.844075420080884,0.942581185,0.8544126000000001,41.331555128097534
resnet18,glass_blur,4,0.06882795999999991,0.06557108424999998,0.07204772424999988,-6.197488682060642,-6.270176309585459,-6.123153704365238,0.9835473799999999,0.91471942,39.65420937538147
resnet18,glass_blur,5,0.07189839500000028,0.06849448149999991,0.07543694437500008,-5.966997141690758,-6.0402194199795955,-5.891921185750828,0.9761033900000002,0.904204995,41.00049614906311
resnet18,motion_blur,1,0.037767440000000096,0.032530231250000055,0.043226437249999965,-0.7469090248259906,-0.8361235518047436,-0.653868942565604,0.6216565700000001,0.58388913,39.95899510383606
